name,weight_plf,A,d,bf,tf,tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,bf_2tf,h_tw,rts,ho
W21X55,55.0,16.2,20.8,8.22,0.522,0.375,1140.0,126.0,110.0,8.4,48.4,18.4,11.8,1.73,1.24,4980.0,7.87,50.0,2.1126246048184423,20.278000000000002
W18X55,55.0,16.2,18.1,7.53,0.63,0.39,890.0,112.0,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430.0,5.98,41.1,1.9980592214460597,17.470000000000002
W24X55,55.0,16.2,23.6,7.01,0.505,0.395,1350.0,134.0,114.0,9.11,29.1,13.3,8.3,1.34,1.18,3870.0,6.94,54.6,1.7157284898568064,23.095000000000002
W21X57,57.0,16.7,21.1,6.56,0.65,0.405,1170.0,129.0,111.0,8.36,30.6,14.8,9.35,1.35,1.77,3190.0,5.04,46.3,1.6777086279868858,20.450000000000003
W16X57,57.0,16.8,16.4,7.12,0.715,0.43,758.0,105.0,92.2,6.72,43.1,18.9,12.1,1.6,2.22,2660.0,4.98,33.0,1.9163475074820968,15.684999999999999
W12X58,58.0,17.0,12.2,10.0,0.64,0.36,475.0,86.4,78.0,5.28,107.0,32.5,21.4,2.51,2.1,3570.0,7.82,27.0,2.8149176691324387,11.559999999999999
W8X58,58.0,17.1,8.75,8.22,0.81,0.51,228.0,59.8,52.0,3.65,75.1,27.9,18.3,2.1,3.33,1180.0,5.07,12.4,2.3926480176001084,7.9399999999999995
W10X60,60.0,17.7,10.2,10.1,0.68,0.42,341.0,74.6,66.7,4.39,116.0,35.0,23.0,2.57,2.48,2640.0,7.41,18.7,2.8803984070191797,9.52
W18X60,60.0,17.6,18.2,7.56,0.695,0.415,984.0,123.0,108.0,7.47,50.1,20.6,13.3,1.68,2.17,3850.0,5.44,38.7,2.0165673722891504,17.505
W14X61,61.0,17.9,13.9,10.0,0.645,0.375,640.0,102.0,92.1,5.98,107.0,32.8,21.5,2.45,2.19,4710.0,7.75,30.4,2.776331727092723,13.255
W24X62,62.0,18.2,23.7,7.04,0.59,0.43,1550.0,153.0,131.0,9.23,34.5,15.7,9.8,1.38,1.71,4620.0,5.97,50.1,1.7457402285124013,23.11
W21X62,62.0,18.3,21.0,8.24,0.615,0.4,1330.0,144.0,127.0,8.54,57.5,21.7,14.0,1.77,1.83,5960.0,6.7,46.9,2.146973409225578,20.385
W18X65,65.0,19.1,18.4,7.59,0.75,0.45,1070.0,133.0,117.0,7.49,54.8,22.5,14.4,1.69,2.73,4240.0,5.06,35.7,2.029755247693401,17.65
W12X65,65.0,19.1,12.1,12.0,0.605,0.39,533.0,96.8,87.9,5.28,174.0,44.1,29.1,3.02,2.18,5780.0,9.92,24.9,3.377729245535434,11.495
W16X67,67.0,19.6,16.3,10.2,0.665,0.395,954.0,130.0,117.0,6.96,119.0,35.5,23.2,2.46,2.39,7300.0,7.7,35.9,2.822438740056335,15.635000000000002
W8X67,67.0,19.7,9.0,8.28,0.935,0.57,272.0,70.1,60.4,3.72,88.6,32.7,21.4,2.12,5.05,1440.0,4.43,11.1,2.4318152868163314,8.065
W21X68,68.0,20.0,21.1,8.27,0.685,0.43,1480.0,160.0,140.0,8.6,64.7,24.4,15.7,1.8,2.45,6760.0,6.04,43.6,2.173445358646035,20.415000000000003
W14X68,68.0,20.0,14.0,10.0,0.72,0.415,722.0,115.0,103.0,6.01,121.0,36.9,24.2,2.46,3.01,5380.0,6.97,27.5,2.7988092407676515,13.28
W10X68,68.0,19.9,10.4,10.1,0.77,0.47,394.0,85.3,75.7,4.44,134.0,40.1,26.4,2.59,3.56,3100.0,6.58,16.7,2.9178884390666107,9.63
W24X68,68.0,20.1,23.7,8.97,0.585,0.415,1830.0,177.0,154.0,9.55,70.4,24.5,15.7,1.87,1.87,9430.0,7.66,52.0,2.300174198375122,23.115
W18X71,71.0,20.9,18.5,7.64,0.81,0.495,1170.0,146.0,127.0,7.5,60.3,24.7,15.8,1.7,3.49,4700.0,4.71,32.4,2.0473963845507037,17.69
W12X72,72.0,21.1,12.3,12.0,0.67,0.43,597.0,108.0,97.4,5.31,195.0,49.2,32.4,3.04,2.93,6540.0,8.99,22.6,3.405050924975245,11.63
W21X73,73.0,21.5,21.2,8.3,0.74,0.455,1600.0,172.0,151.0,8.64,70.6,26.6,17.0,1.81,3.02,7410.0,5.6,41.2,2.1886043274960607,20.46
W14X74,74.0,21.8,14.2,10.1,0.785,0.45,795.0,126.0,112.0,6.04,134.0,40.5,26.6,2.48,3.87,5990.0,6.41,25.4,2.82828971256606,13.415
W24X76,76.0,22.4,23.9,8.99,0.68,0.44,2100.0,200.0,176.0,9.69,82.5,28.6,18.4,1.92,2.68,11100.0,6.61,49.0,2.331781744698718,23.22
W18X76,76.0,22.3,18.2,11.0,0.68,0.425,1330.0,163.0,146.0,7.73,152.0,42.2,27.6,2.61,2.83,11700.0,8.11,37.8,3.0222538154537033,17.52
W10X77,77.0,22.7,10.6,10.2,0.87,0.53,455.0,97.6,85.9,4.49,154.0,45.9,30.1,2.6,5.11,3630.0,5.86,14.8,2.950259751770418,9.73
W16X77,77.0,22.6,16.5,10.3,0.76,0.455,1110.0,150.0,134.0,7.0,138.0,41.1,26.9,2.47,3.57,8590.0,6.77,31.2,2.8504646755940883,15.74
W12X79,79.0,23.2,12.4,12.1,0.735,0.47,662.0,119.0,107.0,5.34,216.0,54.3,35.8,3.05,3.84,7330.0,8.22,20.7,3.429237329060853,11.665000000000001
W14X82,82.0,24.0,14.3,10.1,0.855,0.51,881.0,139.0,123.0,6.05,148.0,44.8,29.3,2.48,5.07,6710.0,5.92,22.4,2.8463840895702583,13.445
W21X83,83.0,24.4,21.4,8.36,0.835,0.515,1830.0,196.0,171.0,8.67,81.4,30.5,19.5,1.83,4.34,8630.0,5.0,36.4,2.2139139916090986,20.564999999999998
W27X84,84.0,24.7,26.7,10.0,0.64,0.46,2850.0,244.0,213.0,10.7,106.0,33.2,21.2,2.07,2.81,17900.0,7.78,52.7,2.5430208582560674,26.06
W24X84,84.0,24.7,24.1,9.02,0.77,0.47,2370.0,224.0,196.0,9.79,94.4,32.6,20.9,1.95,3.7,12800.0,5.86,45.9,2.3681949752410145,23.330000000000002
W18X86,86.0,25.3,18.4,11.1,0.77,0.48,1530.0,186.0,166.0,7.77,175.0,48.4,31.6,2.63,4.1,13600.0,7.2,33.4,3.048528048974858,17.63
W12X87,87.0,25.6,12.5,12.1,0.81,0.515,740.0,132.0,118.0,5.38,241.0,60.4,39.7,3.07,5.1,8270.0,7.48,18.9,3.4589129663915266,11.69
W10X88,88.0,26.0,10.8,10.3,0.99,0.605,534.0,113.0,98.5,4.54,179.0,53.1,34.8,2.63,7.53,4330.0,5.18,13.0,2.989627753874633,9.81
W16X89,89.0,26.2,16.8,10.4,0.875,0.525,1300.0,175.0,155.0,7.05,163.0,48.1,31.4,2.49,5.45,10200.0,5.92,27.0,2.884238003664571,15.925
W30X90,90.0,26.3,29.5,10.4,0.61,0.47,3610.0,283.0,245.0,11.7,115.0,34.7,22.1,2.09,2.84,24000.0,8.52,57.5,2.6040194774841443,28.89
W14X90,90.0,26.5,14.0,14.5,0.71,0.44,999.0,157.0,143.0,6.14,362.0,75.6,49.9,3.7,4.06,16000.0,10.2,25.9,4.102410542475152,13.29
W21X93,93.0,27.3,21.6,8.42,0.93,0.58,2070.0,221.0,192.0,8.7,92.9,34.7,22.1,1.84,6.03,9940.0,4.53,32.3,2.237174756446585,20.67
W27X94,94.0,27.6,26.9,10.0,0.745,0.49,3270.0,278.0,243.0,10.9,124.0,38.8,24.8,2.12,4.03,21300.0,6.7,49.5,2.5861111417008043,26.154999999999998
W24X94,94.0,27.7,24.3,9.07,0.875,0.515,2700.0,254.0,222.0,9.87,109.0,37.5,24.0,1.98,5.26,15000.0,5.18,41.9,2.3999541899292054,23.425
W12X96,96.0,28.2,12.7,12.2,0.9,0.55,833.0,147.0,131.0,5.44,270.0,67.5,44.4,3.09,6.85,9410.0,6.76,17.7,3.488210612660386,11.799999999999999
W18X97,97.0,28.5,18.6,11.1,0.87,0.535,1750.0,211.0,188.0,7.82,201.0,55.3,36.1,2.65,5.86,15800.0,6.41,30.0,3.078820442300898,17.73
W30X99,99.0,29.0,29.7,10.5,0.67,0.52,3990.0,312.0,269.0,11.7,128.0,38.6,24.5,2.1,3.77,26800.0,7.8,51.9,2.6239771626975905,29.029999999999998
W14X99,99.0,29.1,14.2,14.6,0.78,0.485,1110.0,173.0,157.0,6.17,402.0,83.6,55.2,3.71,5.37,18000.0,9.34,23.5,4.139280078774882,13.42
W10X100,100.0,29.3,11.1,10.3,1.12,0.68,623.0,130.0,112.0,4.6,207.0,61.0,40.0,2.65,10.9,5150.0,4.62,11.6,3.0362350001999383,9.98
W16X100,100.0,29.4,17.0,10.4,0.985,0.585,1490.0,198.0,175.0,7.1,186.0,54.9,35.7,2.51,7.73,11900.0,5.29,24.3,2.915720914525381,16.015
W21X101,101.0,29.8,21.4,12.3,0.8,0.5,2420.0,253.0,227.0,9.02,248.0,61.7,40.3,2.89,5.21,26200.0,7.68,37.5,3.351006841015403,20.599999999999998
W27X102,102.0,30.0,27.1,10.0,0.83,0.515,3620.0,305.0,267.0,11.0,139.0,43.4,27.8,2.15,5.28,24000.0,6.03,47.1,2.6154768466150773,26.270000000000003
W24X103,103.0,30.3,24.5,9.0,0.98,0.55,3000.0,280.0,245.0,10.0,119.0,41.5,26.5,1.99,7.07,16600.0,4.59,39.2,2.3951389876282114,23.52
W24X104,104.0,30.7,24.1,12.8,0.75,0.5,3100.0,289.0,258.0,10.1,259.0,62.4,40.7,2.91,4.72,35200.0,8.5,43.1,3.42098172289502,23.35
W18X106,106.0,31.1,18.7,11.2,0.94,0.59,1910.0,230.0,204.0,7.84,220.0,60.5,39.4,2.66,7.48,17400.0,5.96,27.2,3.0969051092980795,17.759999999999998
W12X106,106.0,31.2,12.9,12.2,0.99,0.61,933.0,164.0,145.0,5.47,301.0,75.1,49.3,3.11,9.13,10700.0,6.17,15.9,3.5180626342347208,11.91
W30X108,108.0,31.7,29.8,10.5,0.76,0.545,4470.0,346.0,299.0,11.9,146.0,43.9,27.9,2.15,4.99,30900.0,6.89,49.6,2.6652763130897066,29.04
W14X109,109.0,32.0,14.3,14.6,0.86,0.525,1240.0,192.0,173.0,6.22,447.0,92.7,61.2,3.73,7.12,20200.0,8.49,21.7,4.167654144543693,13.440000000000001
W21X111,111.0,32.6,21.5,12.3,0.875,0.55,2670.0,279.0,249.0,9.05,274.0,68.2,44.5,2.9,6.83,29200.0,7.05,34.1,3.3704173365264003,20.625
W10X112,112.0,32.9,11.4,10.4,1.25,0.755,716.0,147.0,126.0,4.66,236.0,69.2,45.3,2.68,15.1,6020.0,4.17,10.4,3.0756849744057586,10.15
W27X114,114.0,33.6,27.3,10.1,0.93,0.57,4080.0,343.0,299.0,11.0,159.0,49.3,31.5,2.18,7.33,27600.0,5.41,42.5,2.646920865256118,26.37
W30X116,116.0,34.2,30.0,10.5,0.85,0.565,4930.0,378.0,329.0,12.0,164.0,49.2,31.3,2.19,6.43,34900.0,6.17,47.8,2.6966176315155916,29.15
W24X117,117.0,34.4,24.3,12.8,0.85,0.55,3540.0,327.0,291.0,10.1,297.0,71.4,46.5,2.94,6.72,40800.0,7.53,39.2,3.458658306619292,23.45
W33X118,118.0,34.7,32.9,11.5,0.74,0.55,5900.0,415.0,359.0,13.0,187.0,51.3,32.6,2.32,5.3,48300.0,7.76,54.5,2.893343257123535,32.16
W18X119,119.0,35.1,19.0,11.3,1.06,0.655,2190.0,262.0,231.0,7.9,253.0,69.1,44.9,2.69,10.6,20300.0,5.31,24.5,3.1321903689015325,17.94
W14X120,120.0,35.3,14.5,14.7,0.94,0.59,1380.0,212.0,190.0,6.24,495.0,102.0,67.5,3.74,9.37,22700.0,7.8,19.3,4.20030631775768,13.56
W12X120,120.0,35.2,13.1,12.3,1.11,0.71,1070.0,186.0,163.0,5.51,345.0,85.4,56.0,3.13,12.9,12400.0,5.57,13.7,3.562184362796316,11.99
W21X122,122.0,35.9,21.7,12.4,0.96,0.6,2960.0,307.0,273.0,9.09,305.0,75.6,49.2,2.92,8.98,32700.0,6.45,31.3,3.4011875014673763,20.74
W30X124,124.0,36.5,30.2,10.5,0.93,0.585,5360.0,408.0,355.0,12.1,181.0,54.0,34.4,2.23,7.99,38600.0,5.65,46.2,2.7286780248741187,29.27
