name,weight_plf,A,Ht,B,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C,b_tdes,h_tdes
HSS12X12X3/16,29.84,8.15,12.0,12.0,0.1875,0.174,189.0,36.0,31.5,4.82,189.0,36.0,31.5,4.82,290.0,48.6,66.0,66.0
HSS8X8X5/16,31.84,8.76,8.0,8.0,0.3125,0.291,85.6,25.1,21.4,3.13,85.6,25.1,21.4,3.13,136.0,34.5,24.5,24.5
HSS7X7X3/8,32.58,8.97,7.0,7.0,0.375,0.349,65.0,22.1,18.6,2.69,65.0,22.1,18.6,2.69,105.0,30.7,17.1,17.1
HSS10X10X1/4,32.63,8.96,10.0,10.0,0.25,0.233,141.0,32.7,28.3,3.97,141.0,32.7,28.3,3.97,220.0,44.4,39.9,39.9
HSS6X6X1/2,35.24,9.74,6.0,6.0,0.5,0.465,48.3,19.8,16.1,2.23,48.3,19.8,16.1,2.23,81.1,28.1,9.9,9.9
HSS9X9X5/16,36.1,9.92,9.0,9.0,0.3125,0.291,124.0,32.1,27.6,3.54,124.0,32.1,27.6,3.54,196.0,44.0,27.9,27.9
HSS8X8X3/8,37.69,10.4,8.0,8.0,0.375,0.349,100.0,29.4,24.9,3.1,100.0,29.4,24.9,3.1,160.0,40.7,19.9,19.9
HSS12X12X1/4,39.43,10.8,12.0,12.0,0.25,0.233,248.0,47.6,41.4,4.79,248.0,47.6,41.4,4.79,384.0,64.5,48.5,48.5
HSS10X10X5/16,40.35,11.1,10.0,10.0,0.3125,0.291,172.0,40.1,34.5,3.94,172.0,40.1,34.5,3.94,271.0,54.8,31.4,31.4
HSS7X7X1/2,42.05,11.6,7.0,7.0,0.5,0.465,80.5,27.9,23.0,2.63,80.5,27.9,23.0,2.63,133.0,39.3,12.1,12.1
HSS6X6X5/8,42.3,11.7,6.0,6.0,0.625,0.581,55.2,23.2,18.4,2.17,55.2,23.2,18.4,2.17,94.9,33.4,7.33,7.33
HSS9X9X3/8,42.79,11.8,9.0,9.0,0.375,0.349,145.0,37.8,32.2,3.51,145.0,37.8,32.2,3.51,231.0,52.1,22.8,22.8
HSS10X10X3/8,47.9,13.2,10.0,10.0,0.375,0.349,202.0,47.2,40.4,3.92,202.0,47.2,40.4,3.92,320.0,64.8,25.7,25.7
